id_election,id_brut_miom,code_departement,code_commune,libelle_commune,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes
2026_muni_t2,03190_0020,03,03190,Moulins,0020,1,1,0,0.0,0,0
2026_muni_t2,04070_0013,04,04070,Digne-les-Bains,0013,2,2,0,0.0,0,0
2026_muni_t2,05061_0025,05,05061,Gap,0025,0,0,0,0.0,0,0
2026_muni_t2,07186_0007,07,07186,Privas,0007,64,64,0,0.0,0,0
2026_muni_t2,09122_0009,09,09122,Foix,0009,5,5,0,0.0,0,0
2026_muni_t2,12202_0018,12,12202,Rodez,0018,54,54,0,0.0,0,0
2026_muni_t2,14118_4001,14,14118,Caen,4001,161,161,0,0.0,0,0
2026_muni_t2,16015_0030,16,16015,Angoulême,0030,114,114,0,0.0,0,0
2026_muni_t2,17300_0057,17,17300,La Rochelle,0057,263,263,0,0.0,0,0
2026_muni_t2,18033_0059,18,18033,Bourges,0059,11,11,0,0.0,0,0
2026_muni_t2,19272_0999,19,19272,Tulle,0999,104,104,0,0.0,0,0
2026_muni_t2,22278_0033,22,22278,Saint-Brieuc,0033,33,33,0,0.0,0,0
2026_muni_t2,23096_0999,23,23096,Guéret,0999,3,3,0,0.0,0,0
2026_muni_t2,24322_0021,24,24322,Périgueux,0021,103,103,0,0.0,0,0
2026_muni_t2,25056_0701,25,25056,Besançon,0701,92,92,0,0.0,0,0
2026_muni_t2,28085_0031,28,28085,Chartres,0031,115,115,0,0.0,0,0
2026_muni_t2,29232_0050,29,29232,Quimper,0050,64,64,0,0.0,0,0
2026_muni_t2,2A004_0042,2A,2A004,Ajaccio,0042,0,0,0,0.0,0,0
2026_muni_t2,2B033_0027,2B,2B033,Bastia,0027,77,77,0,0.0,0,0
2026_muni_t2,34172_0137,34,34172,Montpellier,0137,0,0,0,0.0,0,0
2026_muni_t2,37261_1543,37,37261,Tours,1543,9,9,0,0.0,0,0
2026_muni_t2,39300_0009,39,39300,Lons-le-Saunier,0009,0,0,0,0.0,0,0
2026_muni_t2,40192_0024,40,40192,Mont-de-Marsan,0024,49,49,0,0.0,0,0
2026_muni_t2,41018_0416,41,41018,Blois,0416,0,0,0,0.0,0,0
2026_muni_t2,42218_0101,42,42218,Saint-Etienne,0101,138,138,0,0.0,0,0
2026_muni_t2,45234_0067,45,45234,Orléans,0067,85,85,0,0.0,0,0
2026_muni_t2,47001_0024,47,47001,Agen,0024,141,141,0,0.0,0,0
2026_muni_t2,48095_0008,48,48095,Mende,0008,14,14,0,0.0,0,0
2026_muni_t2,50502_0015,50,50502,Saint-Lô,0015,0,0,0,0.0,0,0
2026_muni_t2,51108_0025,51,51108,Châlons-en-Champagne,0025,95,95,0,0.0,0,0
2026_muni_t2,52121_0020,52,52121,Chaumont,0020,30,30,0,0.0,0,0
2026_muni_t2,54395_0058,54,54395,Nancy,0058,536,536,0,0.0,0,0
2026_muni_t2,55029_0012,55,55029,Bar-le-Duc,0012,107,107,0,0.0,0,0
2026_muni_t2,60057_0035,60,60057,Beauvais,0035,129,129,0,0.0,0,0
2026_muni_t2,63113_0300,63,63113,Clermont-Ferrand,0300,0,0,0,0.0,0,0
2026_muni_t2,69123_0099,69,69123,Lyon,0099,0,0,0,0.0,0,0
2026_muni_t2,71270_0999,71,71270,Mâcon,0999,50,50,0,0.0,0,0
2026_muni_t2,80021_0072,80,80021,Amiens,0072,113,113,0,0.0,0,0
2026_muni_t2,81004_0033,81,81004,Albi,0033,50,50,0,0.0,0,0
2026_muni_t2,84007_0322,84,84007,Avignon,0322,106,106,0,0.0,0,0
2026_muni_t2,87085_0086,87,87085,Limoges,0086,1,1,0,0.0,0,0
2026_muni_t2,89024_0031,89,89024,Auxerre,0031,117,117,0,0.0,0,0
2026_muni_t2,92050_0050,92,92050,Nanterre,0050,182,182,0,0.0,0,0
2026_muni_t2,94028_0050,94,94028,Créteil,0050,80,80,0,0.0,0,0
2026_muni_t1,01053_0020,01,01053,Bourg-en-Bresse,0020,67,67,0,0.0,0,0
2026_muni_t1,03190_0020,03,03190,Moulins,0020,1,1,0,0.0,0,0
2026_muni_t1,04070_0013,04,04070,Digne-les-Bains,0013,2,2,0,0.0,0,0
2026_muni_t1,05061_0025,05,05061,Gap,0025,0,0,0,0.0,0,0
2026_muni_t1,07186_0007,07,07186,Privas,0007,64,64,0,0.0,0,0
2026_muni_t1,08105_0035,08,08105,Charleville-Mézières,0035,11,11,0,0.0,0,0
2026_muni_t1,09122_0009,09,09122,Foix,0009,5,5,0,0.0,0,0
2026_muni_t1,12202_0018,12,12202,Rodez,0018,54,54,0,0.0,0,0
2026_muni_t1,14118_4001,14,14118,Caen,4001,161,161,0,0.0,0,0
2026_muni_t1,15014_0016,15,15014,Aurillac,0016,29,29,0,0.0,0,0
2026_muni_t1,16015_0030,16,16015,Angoulême,0030,114,114,0,0.0,0,0
2026_muni_t1,17300_0057,17,17300,La Rochelle,0057,264,264,0,0.0,0,0
2026_muni_t1,18033_0059,18,18033,Bourges,0059,11,11,0,0.0,0,0
2026_muni_t1,19272_0999,19,19272,Tulle,0999,104,104,0,0.0,0,0
2026_muni_t1,21231_0096,21,21231,Dijon,0096,47,47,0,0.0,0,0
2026_muni_t1,22278_0033,22,22278,Saint-Brieuc,0033,33,33,0,0.0,0,0
2026_muni_t1,23096_0999,23,23096,Guéret,0999,3,3,0,0.0,0,0
2026_muni_t1,24322_0021,24,24322,Périgueux,0021,103,103,0,0.0,0,0
2026_muni_t1,25056_0701,25,25056,Besançon,0701,92,92,0,0.0,0,0
2026_muni_t1,26362_0042,26,26362,Valence,0042,44,44,0,0.0,0,0
2026_muni_t1,28085_0031,28,28085,Chartres,0031,115,115,0,0.0,0,0
2026_muni_t1,29232_0050,29,29232,Quimper,0050,64,64,0,0.0,0,0
2026_muni_t1,2A004_0042,2A,2A004,Ajaccio,0042,0,0,0,0.0,0,0
2026_muni_t1,2B033_0027,2B,2B033,Bastia,0027,77,77,0,0.0,0,0
2026_muni_t1,31555_001A,31,31555,Toulouse,001A,421,421,0,0.0,0,0
2026_muni_t1,34172_0137,34,34172,Montpellier,0137,0,0,0,0.0,0,0
2026_muni_t1,36044_0022,36,36044,Châteauroux,0022,0,0,0,0.0,0,0
2026_muni_t1,37261_1543,37,37261,Tours,1543,9,9,0,0.0,0,0
2026_muni_t1,39300_0009,39,39300,Lons-le-Saunier,0009,0,0,0,0.0,0,0
2026_muni_t1,40192_0024,40,40192,Mont-de-Marsan,0024,49,49,0,0.0,0,0
2026_muni_t1,41018_0416,41,41018,Blois,0416,0,0,0,0.0,0,0
2026_muni_t1,41205_0001,41,41205,Saint-Cyr-du-Gault,0001,157,157,0,5.0,-84,79
2026_muni_t1,42218_0101,42,42218,Saint-Etienne,0101,139,139,0,0.0,0,0
2026_muni_t1,43157_0105,43,43157,Le Puy-en-Velay,0105,0,0,0,0.0,0,0
2026_muni_t1,48095_0008,48,48095,Mende,0008,14,14,0,0.0,0,0
2026_muni_t1,50502_0015,50,50502,Saint-Lô,0015,0,0,0,0.0,0,0
2026_muni_t1,51108_0025,51,51108,Châlons-en-Champagne,0025,95,95,0,0.0,0,0
2026_muni_t1,52121_0020,52,52121,Chaumont,0020,30,30,0,0.0,0,0
2026_muni_t1,54395_0058,54,54395,Nancy,0058,536,536,0,0.0,0,0
2026_muni_t1,55029_0012,55,55029,Bar-le-Duc,0012,107,107,0,0.0,0,0
2026_muni_t1,56260_0038,56,56260,Vannes,0038,64,64,0,0.0,0,0
2026_muni_t1,60057_0035,60,60057,Beauvais,0035,129,129,0,0.0,0,0
2026_muni_t1,63113_0300,63,63113,Clermont-Ferrand,0300,0,0,0,0.0,0,0
2026_muni_t1,69123_0099,69,69123,Lyon,0099,0,0,0,0.0,0,0
2026_muni_t1,70550_0017,70,70550,Vesoul,0017,0,0,0,0.0,0,0
2026_muni_t1,71270_0999,71,71270,Mâcon,0999,50,50,0,0.0,0,0
2026_muni_t1,79191_0043,79,79191,Niort,0043,66,66,0,0.0,0,0
2026_muni_t1,80021_0072,80,80021,Amiens,0072,113,113,0,0.0,0,0
2026_muni_t1,81004_0033,81,81004,Albi,0033,50,50,0,0.0,0,0
2026_muni_t1,84007_0322,84,84007,Avignon,0322,106,106,0,0.0,0,0
2026_muni_t1,87085_0086,87,87085,Limoges,0086,1,1,0,0.0,0,0
2026_muni_t1,91228_0034,91,91228,Evry-Courcouronnes,0034,1149,1149,0,0.0,0,0
2026_muni_t1,94028_0050,94,94028,Créteil,0050,80,80,0,0.0,0,0
2026_muni_t1,95500_0022,95,95500,Pontoise,0022,155,155,0,0.0,0,0
2020_muni_t2,51650_0001,51,51650,Voilemont,0001,44,44,0,0.0,0,0
2020_muni_t2,57329_0001,57,57329,Holling,0001,306,306,0,0.0,0,0
2020_muni_t1,25156_0002,25,25156,Pays-De-Clerval,0002,0,0,0,0.0,0,0
